round,player1_stack,opponent_stack,winner,actions
409,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
410,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
411,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
412,1020,980,Player1,0 call:20
413,1010,990,Player1,no_actions
414,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
415,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
416,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
417,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
418,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
419,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
420,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
421,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
422,1010,990,Player1,no_actions
423,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
424,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
425,1020,980,Player1,0 call:20
426,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
427,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
428,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
429,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
430,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
431,1020,980,Player1,0 call:20;0 call:0;0 call:0
432,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
433,1020,980,Player1,0 call:20
434,1010,990,Player1,no_actions
435,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
436,1020,980,Player1,0 call:20;0 call:0;0 call:0
437,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
438,1010,990,Player1,no_actions
439,1020,980,Player1,0 call:20
440,1020,980,Player1,0 call:20
441,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
442,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
443,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
444,1010,990,Player1,no_actions
445,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
446,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
447,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
448,1020,980,Player1,0 call:20
449,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
450,1010,990,Player1,no_actions
451,1010,990,Player1,no_actions
