round,player1_stack,opponent_stack,winner,actions
295,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
296,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
297,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
298,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
299,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
300,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
301,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
302,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
303,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
304,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
305,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
306,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
307,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
308,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
309,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
310,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
311,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
312,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
313,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
314,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
315,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
316,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
317,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
318,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
319,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
320,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
321,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
322,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
323,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
324,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
325,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
326,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
327,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
328,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
329,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
330,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
331,1000,1000,Player1,0 call:20;0 call:0;0 call:0;0 call:20
332,1000,1000,Player1,0 call:30;0 call:20;0 call:20;0 call:0
333,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
334,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
335,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
336,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
337,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
338,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
339,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
340,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
341,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
342,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
343,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
344,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
345,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
346,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
347,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
348,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
349,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
350,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
351,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
352,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
353,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
354,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
355,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
356,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
357,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
358,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
359,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
360,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
361,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
362,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
363,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
364,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
365,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
366,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
367,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
368,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
369,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
370,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
371,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
372,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
373,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
374,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
375,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
376,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
377,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
378,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
379,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
380,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
381,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
382,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
383,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
384,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
385,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
386,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
387,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
388,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
389,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
390,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
391,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
