round,player1_stack,opponent_stack,winner,actions
335,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
336,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
337,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
338,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
339,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
340,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
341,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
342,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
343,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
344,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
345,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
346,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
347,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
348,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
349,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
350,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
351,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
352,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
353,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
354,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
355,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
356,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
357,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
358,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
359,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
360,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
361,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
362,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
363,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
364,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
365,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
366,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
367,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
368,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
369,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
370,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
371,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
372,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
373,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
374,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
375,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
376,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
377,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
378,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
379,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
380,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
381,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
382,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
383,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
384,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
385,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
386,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
387,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
388,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
389,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
390,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
391,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
